PK,DataDiRiferimento,Macrozona,SbilAggregatoZonale[MWh],SegnoAggregatoZonale,Scambi[MWh],Estero[MWh],LoadingSliceDate,SliceDate
MjIvMTAvMjAyNCAyMTozMHxTVUQ=,22/10/2024 21:30,SUD,73.1390000000,+,756.4100000000,108.2440000000,20250203,20250203
MjIvMTAvMjAyNCAxMjo0NXxTVUQ=,22/10/2024 12:45,SUD,-60.5390000000,-,207.1910000000,230.9140000000,20250203,20250203
MjIvMTAvMjAyNCAwNDo0NXxTVUQ=,22/10/2024 04:45,SUD,35.8440000000,+,542.1570000000,233.0620000000,20250203,20250203
MjIvMTAvMjAyNCAxNTo0NXxOT1JE,22/10/2024 15:45,NORD,-66.3720000000,-,-358.5750000000,1058.0060000000,20250203,20250203
MjIvMTAvMjAyNCAxNjo0NXxOT1JE,22/10/2024 16:45,NORD,-25.6010000000,-,-598.6760000000,1024.0380000000,20250203,20250203
MjIvMTAvMjAyNCAwNDoxNXxTVUQ=,22/10/2024 04:15,SUD,36.6260000000,+,524.8930000000,235.6930000000,20250203,20250203
MjIvMTAvMjAyNCAxODowMHxOT1JE,22/10/2024 18:00,NORD,129.7140000000,+,-893.8400000000,969.5730000000,20250203,20250203
MjIvMTAvMjAyNCAxODo0NXxOT1JE,22/10/2024 18:45,NORD,-213.6160000000,-,-945.7440000000,1163.3210000000,20250203,20250203
MjIvMTAvMjAyNCAxMDozMHxOT1JE,22/10/2024 10:30,NORD,112.8190000000,+,-201.6030000000,1064.0580000000,20250203,20250203
MjIvMTAvMjAyNCAxMDo0NXxTVUQ=,22/10/2024 10:45,SUD,213.9110000000,+,192.6290000000,222.4300000000,20250203,20250203
MjIvMTAvMjAyNCAwMDowMHxOT1JE,22/10/2024 00:00,NORD,-45.4140000000,-,-558.9790000000,1233.9310000000,20250203,20250203
MjIvMTAvMjAyNCAwMjo0NXxOT1JE,22/10/2024 02:45,NORD,5.2700000000,+,-568.2450000000,1276.3310000000,20250203,20250203
MjIvMTAvMjAyNCAwNToxNXxTVUQ=,22/10/2024 05:15,SUD,63.7440000000,+,591.6010000000,221.8260000000,20250203,20250203
MjIvMTAvMjAyNCAwOToxNXxTVUQ=,22/10/2024 09:15,SUD,-1.4360000000,-,222.2710000000,218.8740000000,20250203,20250203
MjIvMTAvMjAyNCAxMzowMHxTVUQ=,22/10/2024 13:00,SUD,-1.3350000000,-,110.6890000000,230.0780000000,20250203,20250203
MjIvMTAvMjAyNCAwNTozMHxTVUQ=,22/10/2024 05:30,SUD,7.3660000000,+,589.8590000000,220.1290000000,20250203,20250203
MjIvMTAvMjAyNCAxOTozMHxOT1JE,22/10/2024 19:30,NORD,20.4720000000,+,-942.7120000000,1235.6790000000,20250203,20250203
MjIvMTAvMjAyNCAxMToxNXxOT1JE,22/10/2024 11:15,NORD,103.2160000000,+,-277.1270000000,1047.5660000000,20250203,20250203
MjIvMTAvMjAyNCAxMTo0NXxOT1JE,22/10/2024 11:45,NORD,274.8220000000,+,-292.9610000000,1086.2330000000,20250203,20250203
MjIvMTAvMjAyNCAwNzoxNXxOT1JE,22/10/2024 07:15,NORD,39.5450000000,+,-619.7540000000,840.0380000000,20250203,20250203
MjIvMTAvMjAyNCAwNzoxNXxTVUQ=,22/10/2024 07:15,SUD,-58.3590000000,-,619.7540000000,-171.7900000000,20250203,20250203
MjIvMTAvMjAyNCAxNTozMHxTVUQ=,22/10/2024 15:30,SUD,-172.1650000000,-,321.2630000000,230.6790000000,20250203,20250203
MjIvMTAvMjAyNCAwMzowMHxTVUQ=,22/10/2024 03:00,SUD,45.4710000000,+,522.0210000000,238.7750000000,20250203,20250203
MjIvMTAvMjAyNCAxMjowMHxTVUQ=,22/10/2024 12:00,SUD,-161.8490000000,-,277.8200000000,219.0740000000,20250203,20250203
MjIvMTAvMjAyNCAwNzo0NXxOT1JE,22/10/2024 07:45,NORD,-146.9300000000,-,-503.5290000000,881.3410000000,20250203,20250203
MjIvMTAvMjAyNCAxNzozMHxOT1JE,22/10/2024 17:30,NORD,-1.9900000000,-,-797.1130000000,1080.0850000000,20250203,20250203
MjIvMTAvMjAyNCAwMjozMHxTVUQ=,22/10/2024 02:30,SUD,-20.7160000000,-,554.4600000000,237.8780000000,20250203,20250203
MjIvMTAvMjAyNCAyMDo0NXxOT1JE,22/10/2024 20:45,NORD,211.2770000000,+,-828.6970000000,1267.3870000000,20250203,20250203
MjIvMTAvMjAyNCAxMzozMHxTVUQ=,22/10/2024 13:30,SUD,-74.9850000000,-,131.1180000000,233.8170000000,20250203,20250203
MjIvMTAvMjAyNCAwNjozMHxOT1JE,22/10/2024 06:30,NORD,-116.1550000000,-,-804.5550000000,1200.3730000000,20250203,20250203
MjIvMTAvMjAyNCAxNDo0NXxOT1JE,22/10/2024 14:45,NORD,-1.9930000000,-,-363.4380000000,1040.8590000000,20250203,20250203
MjIvMTAvMjAyNCAwODozMHxTVUQ=,22/10/2024 08:30,SUD,-46.6140000000,-,295.9720000000,142.5770000000,20250203,20250203
MjIvMTAvMjAyNCAwODoxNXxTVUQ=,22/10/2024 08:15,SUD,-79.8170000000,-,307.5220000000,101.3840000000,20250203,20250203
MjIvMTAvMjAyNCAxMDozMHxTVUQ=,22/10/2024 10:30,SUD,163.8690000000,+,201.6030000000,223.6590000000,20250203,20250203
MjIvMTAvMjAyNCAxNjozMHxTVUQ=,22/10/2024 16:30,SUD,-225.0010000000,-,499.0130000000,132.4410000000,20250203,20250203
MjIvMTAvMjAyNCAyMDo0NXxTVUQ=,22/10/2024 20:45,SUD,145.8210000000,+,828.6970000000,-5.0760000000,20250203,20250203
MjIvMTAvMjAyNCAwNDowMHxOT1JE,22/10/2024 04:00,NORD,14.9270000000,+,-527.1310000000,1284.0000000000,20250203,20250203
MjIvMTAvMjAyNCAxNzoxNXxOT1JE,22/10/2024 17:15,NORD,-5.6150000000,-,-788.0040000000,1120.1830000000,20250203,20250203
MjIvMTAvMjAyNCAyMzo0NXxTVUQ=,22/10/2024 23:45,SUD,132.2420000000,+,713.3910000000,122.4990000000,20250203,20250203
MjIvMTAvMjAyNCAxODo0NXxTVUQ=,22/10/2024 18:45,SUD,-251.7370000000,-,945.7440000000,-215.3140000000,20250203,20250203
MjIvMTAvMjAyNCAyMTowMHxOT1JE,22/10/2024 21:00,NORD,-126.3990000000,-,-822.2560000000,1429.8150000000,20250203,20250203
MjIvMTAvMjAyNCAyMTozMHxOT1JE,22/10/2024 21:30,NORD,44.2180000000,+,-756.4100000000,1232.0260000000,20250203,20250203
